Business_Name,Street,City,State,ZIP,Recreational,Medical,Delivery,Microbusiness,Consumption_Area,Raw_Type
The Cannabis Place,1544 John F. Kennedy Blvd,Jersey City,NJ,07305,1,,1,,,Recreational cannabis |\nOffers delivery
The Dispensary of Saddle Brook,225 US-46,Saddle Brook,NJ,07663,1,,,,,Recreational cannabis
The Frosted Nug at Red Bank,22 Bridge Ave,Red Bank,NJ,07701,1,,,,,Recreational cannabis
The G Factory - Recreational Dispensary,1848 White Horse Pike,Camden,NJ,08103,1,,,,,Recreational cannabis
"The Goods Supply Co. Victory Gardens, LLC",330 S Salem St,Dover,NJ,07801,1,,,,,Recreational cannabis
The Green Initiative,1062 Mantua Pike,Wenonah,NJ,08090,1,,,,,Recreational cannabis
The Healing Side,2415 Pacific Ave,Atlantic City,NJ,08401,1,,,1,,Microbusiness |\nRecreational cannabis
The Honorable Plant,123 Bay Ave,Highlands,NJ,07732,1,,1,,,Recreational cannabis |\nOffers delivery
The Jersey Joint Dispensary,7-11 State St,Glassboro,NJ,08028,1,,,,,Recreational cannabis
The Leaf and Seed Dispensary,328 White Horse Pike Unit L,Clementon,NJ,08021,1,,,1,,Microbusiness |\nRecreational cannabis
The Library of New Jersey,1-3 Washington St,West Orange,NJ,07052,1,,,1,,Microbusiness |\nRecreational cannabis
The Medicine Woman,660 Tonnelle Ave,Jersey City,NJ,07307,1,,1,,,Recreational cannabis |\nOffers delivery
The Other Side Dispensary,36 Congress St,Jersey City,NJ,07307,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
The Retreat - Jersey City Dispensary,656 Grand St,Jersey City,NJ,07304,1,,,,,Recreational cannabis
The Social Leaf,334 Atlantic City Blvd,Toms River,NJ,08757,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
The Station Dispensary,201 Wright St,Newark,NJ,07114,1,,,1,,Microbusiness |\nRecreational cannabis
The THC Shop,1740 Atlantic Ave,Atlantic City,NJ,08401,1,,,1,,Microbusiness |\nRecreational cannabis
The Wildflower Market,1810 Wayside Rd suite a,Eatontown,NJ,07724,1,,,1,,Microbusiness |\nRecreational cannabis
Timber 5,695 Hamilton St,Somerset,NJ,08873,1,,,1,,Microbusiness |\nRecreational cannabis
Township Green,15-17 E Scott St,Riverside,NJ,08075,1,,,1,,Microbusiness |\nRecreational cannabis
Tree House Co-Op Dispensary,326 NJ-73,Voorhees Township,NJ,08043,1,,,1,,Microbusiness |\nRecreational cannabis
Treeotics,467 Lyons Ave,Newark,NJ,07112,1,,,1,,Microbusiness |\nRecreational cannabis
Twisted Hat Cannabis,515 Shell Rd,Carneys Point,NJ,08069,1,,,1,,Microbusiness |\nRecreational cannabis
Uforia Dispensary,138 Griffith St,Jersey City,NJ,07307,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Uma Flowers,100 Ridgedale Ave,Morristown,NJ,07960,1,,,1,,Microbusiness |\nRecreational cannabis
Union Chill,204 N Union St,Lambertville,NJ,08530,1,,,,,Recreational cannabis
Unity Rd. Cannabis Shop,441 Elizabeth Ave,Somerset,NJ,08873,1,,,,,Recreational cannabis
Urge,941 Elizabeth Ave,Elizabeth,NJ,07201,1,,1,1,,Microbusiness |\nRecreational cannabis |\nOffers delivery
Vigor Dispensary,1082 NJ-34,Matawan,NJ,07747,1,,,,,Recreational cannabis
Village Hoboken,516 Washington St,Hoboken,NJ,07030,1,,1,,,Recreational cannabis |\nOffers delivery
Voltaire NJ,47 Mill St,Mt Holly,NJ,08060,1,,,,,Recreational cannabis
West Orange Wellness,26 S Valley Rd,West Orange,NJ,07052,1,,,,,Recreational cannabis
Woodbury Wellness,818 N Broad St,Woodbury,NJ,08096,1,,,,,Recreational cannabis
Xena NJ,759a Bergen Ave,Jersey City,NJ,07305,1,,,,,Recreational cannabis
Zacate,"Millside Shopping Center II, 4037 US-130",Delran,NJ,08075,1,,,,,Recreational cannabis
Zen Leaf Mount Holly,600 High St,Mt Holly,NJ,08060,1,,1,,,Recreational cannabis |\nOffers delivery
Apothecarium Dispensary,55 S Main St,Phillipsburg,NJ,08865,1,1,,,,Medicinal cannabis |\nRecreational cannabis |\nExpanded ATC (Both Med & Rec)
Apothecarium Dispensary,1865 Springfield Ave,Maplewood,NJ,07040,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Apothecarium Dispensary,200 NJ-17,Lodi,NJ,07644,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Ascend,325 NJ-15,Wharton,NJ,07885,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Ascend,461-469 West St,Fort Lee,NJ,07024,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
Ascend,174 NJ-17,Rochelle Park,NJ,07662,1,1,1,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis |\nOffers delivery
"""Aunt Mary's Dispensary""",100 Reaville Ave,Flemington,NJ,08822,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Ayr Wellness,950 US-1,Woodbridge,NJ,07095,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
Ayr Wellness,59 Main St,Eatontown,NJ,07724,1,1,,,,Expanded ATC (Both Med & Rec) |\nMedicinal cannabis |\nRecreational cannabis
