Facility_ID,Enforcement_Num,Enforcement_URL,Date_Finalized,License_Type,License_Number,Status
001t000000L0TAhAAN,00078268,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000A7OioAAF&facilityId=001t000000L0TAhAAN,3/6/2024,Dispensary,00000096DCXQ00231932,Closed (Complete)
001t000000L0TB9AAN,00063730,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000008d7zKAAQ&facilityId=001t000000L0TB9AAN,,Establishment,00000129ESRG43839179,Closed (Complete)
001t000000L0TB9AAN,00094663,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000NQq0zAAD&facilityId=001t000000L0TB9AAN,1/7/2025,Dispensary,00000110DCDE00541508,Closed (Complete)
001t000000L0TB9AAN,00054924,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007L0YsAAK&facilityId=001t000000L0TB9AAN,9/18/2023,Dispensary,00000110DCDE00541508,Closed (Complete)
001t000000L0TB9AAN,00121964,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000Xyo8pAAB&facilityId=001t000000L0TB9AAN,3/12/2025,Establishment,00000129ESRG43839179,Closed (Complete)
001t000000L0TB9AAN,00156178,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00001Pa4fkAAB&facilityId=001t000000L0TB9AAN,2/11/2026,Establishment,00000129ESRG43839179,Closed (Complete)
001t000000L0TAqAAN,00133598,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000lu6R7AAI&facilityId=001t000000L0TAqAAN,6/20/2025,Establishment,00000119ESKK32735375,Closed (Complete)
001t000000L0TAsAAN,00056167,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y000007S1GbAAK&facilityId=001t000000L0TAsAAN,,Establishment,00000128ESJI00619914,Closed (Complete)
001t000000L0TBFAA3,00089604,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs0000078yz4AAA&facilityId=001t000000L0TBFAA3,9/23/2024,,,Closed (Complete)
001t000000cRyGXAA0,00135929,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000pgQDeAAM&facilityId=001t000000cRyGXAA0,7/18/2025,Establishment,00000136ESTJ56415147,Closed (Complete)
001t000000bI7qbAAC,00078245,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000A6oEwAAJ&facilityId=001t000000bI7qbAAC,,Establishment,00000140ESDP54259308,Closed (Complete)
001t000000bIQaMAAW,00091291,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000CpZ6TAAV&facilityId=001t000000bIQaMAAW,10/25/2024,Establishment,00000141ESYC13235553,Closed (Complete)
001t000000cRx7LAAS,00144946,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs000011CJ95AAG&facilityId=001t000000cRx7LAAS,10/23/2025,Establishment,00000142ESIL74759395,Closed (Complete)
001t000000bIPudAAG,00092368,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000HGbTFAA1&facilityId=001t000000bIPudAAG,11/20/2024,Establishment,00000143ESKB17654619,Closed (Complete)
001t000000bIPudAAG,00081197,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=5008y00000ALmzGAAT&facilityId=001t000000bIPudAAG,3/25/2024,Establishment,00000143ESKB17654619,Closed (Complete)
001t000000bHlkSAAS,00143385,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000zaosrAAA&facilityId=001t000000bHlkSAAS,10/14/2025,Establishment,00000144ESQK21738687,Closed (Complete)
0018y000007E23LAAS,00090502,https://azcarecheck.azdhs.gov/s/enforcement-details?enforcementId=500cs00000A1vT8AAJ&facilityId=0018y000007E23LAAS,,,,Closed (Complete)
